name,KEGG
12-Ketochenodeoxycholic acid,
12-Ketochenodeoxycholic acid,
12-Ketochenodeoxycholic acid,
12-Ketochenodeoxycholic acid,
12-Ketochenodeoxycholic acid,
12-Ketochenodeoxycholic acid,
2-Methylbutyroylcarnitine,
2-Methylbutyroylcarnitine,
2-Methylbutyroylcarnitine,
2-Methylbutyroylcarnitine,
3-hydroxydodecanoyl carnitine,
3-hydroxydodecanoyl carnitine,
3-hydroxydodecanoyl carnitine,
3-hydroxydodecanoyl carnitine,
3-hydroxydodecanoyl carnitine,
3-Hydroxyhexadecanoylcarnitine,
3-Hydroxyhexadecanoylcarnitine,
3-Hydroxyhexadecanoylcarnitine,
7?-hydroxy-3-oxo-4-cholestenoic acid,C17337
7?-hydroxy-3-oxo-4-cholestenoic acid,C17337
7?-hydroxy-3-oxo-4-cholestenoic acid,C17337
7?-hydroxy-3-oxo-4-cholestenoic acid,C17337
7?-hydroxy-3-oxo-4-cholestenoic acid,C17337
7?-Hydroxycholesterol,
7-Ketochenodeoxycholic acid,
7-Ketochenodeoxycholic acid,
7-Ketochenodeoxycholic acid,
7-Ketochenodeoxycholic acid,
7-Ketochenodeoxycholic acid,
7-Ketodeoxycholic acid,
7-Ketodeoxycholic acid,
7-Ketodeoxycholic acid,
7-Ketodeoxycholic acid,
7-Ketodeoxycholic acid,
Acetyl-DL-carnitine,C02571
Adipoyl-L-carnitine,
Adipoyl-L-carnitine,
Adipoyl-L-carnitine,
Adipoyl-L-carnitine,
Allocholic acid,C17737
Allocholic acid,C17737
Allocholic acid,C17737
Allocholic acid,C17737
Allocholic acid,C17737
Alpha-Muricholic acid,C17647
Alpha-Muricholic acid,C17647
Alpha-Muricholic acid,C17647
Alpha-Muricholic acid,C17647
Alpha-Muricholic acid,C17647
Beta-Muricholic acid,C17726
Beta-Muricholic acid,C17726
Beta-Muricholic acid,C17726
Beta-Muricholic acid,C17726
Beta-Muricholic acid,C17726
Butanoylcarnitine,C02862
Butanoylcarnitine,C02862
Butanoylcarnitine,C02862
Butanoylcarnitine,C02862
Chenodeoxycholic Acid (CDCA),C02528
Chenodeoxycholic Acid (CDCA),C02528
Cholic acid,C00695
Cholic acid,C00695
Cholic acid,C00695
Coprocholic Acid,
Coprocholic Acid,
Coprocholic Acid,
Coprocholic Acid,
Coprocholic Acid,
Coprocholic Acid,
Coprocholic Acid,
Coprocholic Acid,
Coprocholic Acid,
Coprocholic Acid,
Cortisone,C00762
Cortisone,C00762
Cortisone,C00762
Cortisone,C00762
Cortisone,C00762
Cortisone,C00762
Cortisone,C00762
Decanoyl-L-carnitine,
Decanoyl-L-carnitine,
Decanoyl-L-carnitine,
Decanoyl-L-carnitine,
Dehydrocholic acid,
Dehydrocholic acid,
Dehydrocholic acid,
Dehydrocholic acid,
Dehydrocholic acid,
Dehydrolithocholic acid,C03070
Dehydrolithocholic acid,C03070
Dehydrolithocholic acid,C03070
Deoxycholic acid(DCA),C04483
Deoxycholic acid(DCA),C04483
Deoxycholic acid(DCA),C04483
Dodecanoylcarnitine,
Dodecanoylcarnitine,
Dodecanoylcarnitine,
Dodecanoylcarnitine,
Dodecenoylcarnitine,
Dodecenoylcarnitine,
Dodecenoylcarnitine,
Dodecenoylcarnitine,
Gama-Muricholic acid,C17649
Gama-Muricholic acid,C17649
Gama-Muricholic acid,C17649
Gama-Muricholic acid,C17649
Gama-Muricholic acid,C17649
Glutarylcarnitine,
Glutarylcarnitine,
Glutarylcarnitine,
Glutarylcarnitine,
Glycochenodeoxycholic acid,C05466
Glycochenodeoxycholic acid,C05466
Glycochenodeoxycholic acid,C05466
Glycochenodeoxycholic acid,C05466
Glycocholic acid,C01921
Glycocholic acid,C01921
Glycocholic acid,C01921
Glycocholic acid,C01921
Glycodeoxycholic acid (GDCA),C05464
Glycodeoxycholic acid (GDCA),C05464
Glycohyodeoxcholic acid,
Glycohyodeoxcholic acid,
Glycohyodeoxcholic acid,
Glycohyodeoxcholic acid,
Glycolithocholic acid,C15557
Glycolithocholic acid,C15557
Glycolithocholic acid,C15557
Glycolithocholic acid,C15557
Glycoursodeoxycholic acid (G-UDCA),
Glycoursodeoxycholic acid (G-UDCA),
Glycoursodeoxycholic acid (G-UDCA),
